power,memory Used,u_gpu,u_memory
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.13,6.0,0.0,0.0
20.71,17.0,0.0,0.0
20.23,19.0,0.0,0.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
20.42,17.0,0.0,0.0
77.97,159.0,29.0,14.0
20.8,17.0,0.0,0.0
