power,memory Used,u_gpu,u_memory
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
37.71,34.0,3.0,0.0
26.36,48.0,0.0,0.0
26.36,48.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,22.0,0.0,0.0
