power,memory Used,u_gpu,u_memory
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
26.87,0.0,0.0,0.0
33.93,61.0,0.0,0.0
33.93,61.0,0.0,0.0
