start,duration,threads_x,threads_y,threads_z
0.472946,0.000138,8192.0,1.0,1.0
0.473085,2e-06,8192.0,1.0,1.0
0.473089,0.000399,8192.0,1.0,1.0
0.473489,0.000676,8192.0,1.0,1.0
0.474166,0.000136,8192.0,1.0,1.0
0.474303,2e-06,8192.0,1.0,1.0
0.474306,0.000399,8192.0,1.0,1.0
0.474706,0.000676,8192.0,1.0,1.0
0.475384,0.000136,8192.0,1.0,1.0
0.475521,2e-06,8192.0,1.0,1.0
0.475524,0.000399,8192.0,1.0,1.0
0.475924,0.000561,8192.0,1.0,1.0
0.476486,0.000136,8192.0,1.0,1.0
0.476624,1e-06,8192.0,1.0,1.0
0.476626,0.000399,8192.0,1.0,1.0
0.477027,0.000676,8192.0,1.0,1.0
0.477704,0.000136,8192.0,1.0,1.0
0.47784,2e-06,8192.0,1.0,1.0
0.477843,0.000399,8192.0,1.0,1.0
0.478243,0.000505,8192.0,1.0,1.0
0.47875,0.000138,8192.0,1.0,1.0
0.478889,2e-06,8192.0,1.0,1.0
0.478891,0.000399,8192.0,1.0,1.0
0.479291,0.000676,8192.0,1.0,1.0
0.479969,0.000135,8192.0,1.0,1.0
0.480105,2e-06,8192.0,1.0,1.0
0.480108,0.000399,8192.0,1.0,1.0
0.480508,0.000676,8192.0,1.0,1.0
0.481185,0.000136,8192.0,1.0,1.0
0.481322,2e-06,8192.0,1.0,1.0
0.481325,0.000399,8192.0,1.0,1.0
0.481725,0.000676,8192.0,1.0,1.0
0.482402,0.000136,8192.0,1.0,1.0
0.482539,1e-06,8192.0,1.0,1.0
0.482541,0.000399,8192.0,1.0,1.0
0.482942,0.000676,8192.0,1.0,1.0
