power,memory Used,u_gpu,u_memory
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
30.76,343.0,0.0,0.0
42.21,343.0,22.0,3.0
43.91,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
34.41,343.0,34.0,9.0
41.72,343.0,35.0,15.0
23.45,0.0,0.0,0.0
32.7,343.0,22.0,3.0
