power,memory Used,u_gpu,u_memory
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.69,18.0,0.0,0.0
31.98,393.0,46.0,0.0
32.7,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.46,393.0,100.0,0.0
31.73,271.0,64.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
31.25,393.0,0.0,0.0
32.71,393.0,100.0,0.0
32.7,393.0,100.0,0.0
32.95,393.0,100.0,0.0
31.98,393.0,100.0,0.0
31.73,271.0,0.0,0.0
31.73,271.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
23.45,0.0,0.0,0.0
