power,memory Used,u_gpu,u_memory
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
32.46,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
93.39,1027.0,20.0,1.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
103.05,1027.0,28.0,9.0
32.95,1027.0,100.0,93.0
59.45,1027.0,38.0,11.0
96.54,1027.0,38.0,15.0
35.39,1027.0,100.0,50.0
32.46,1027.0,32.0,1.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
31.98,1027.0,20.0,1.0
31.97,1027.0,0.0,0.0
89.01,1027.0,0.0,0.0
32.71,1027.0,58.0,42.0
31.98,1027.0,16.0,1.0
103.76,1027.0,33.0,23.0
33.44,1027.0,100.0,89.0
78.61,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
32.22,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.46,1027.0,80.0,44.0
72.07,1027.0,18.0,1.0
94.1,1027.0,66.0,47.0
33.92,1027.0,100.0,69.0
91.44,1027.0,33.0,23.0
53.39,1027.0,100.0,72.0
32.22,1027.0,49.0,22.0
104.0,1027.0,28.0,9.0
33.68,1027.0,38.0,11.0
96.29,1027.0,38.0,15.0
96.54,1027.0,100.0,51.0
32.7,1027.0,100.0,50.0
23.69,0.0,0.0,0.0
31.25,645.0,0.0,0.0
31.97,1027.0,3.0,0.0
32.22,1027.0,0.0,0.0
65.78,1027.0,0.0,0.0
44.88,1027.0,75.0,70.0
31.98,1027.0,58.0,42.0
101.59,1027.0,33.0,23.0
33.92,1027.0,100.0,89.0
32.22,1027.0,32.0,1.0
78.85,1027.0,33.0,14.0
78.85,1027.0,100.0,42.0
78.85,1027.0,100.0,42.0
37.81,1027.0,100.0,42.0
31.98,1027.0,44.0,11.0
92.4,1027.0,20.0,1.0
93.37,1027.0,100.0,71.0
32.7,1027.0,80.0,44.0
94.1,1027.0,66.0,47.0
33.68,1027.0,100.0,69.0
32.22,1027.0,33.0,1.0
91.2,1027.0,33.0,23.0
32.46,1027.0,100.0,72.0
